dataset,best_epoch,best_validation_precision@20,best_validation_mrr@20,test_precision@20,test_mrr@20,test_loss,best_checkpoint_path,final_checkpoint_path
Yoochoose 1/64,10,69.27943760984182,32.500136147097216,70.03649504454542,30.89542820558654,4.343515929631877,/kaggle/working/results/checkpoints/gat_sagpool_yoochoose_1_64.pt,/kaggle/working/results/checkpoints/gat_sagpool_yoochoose_1_64.pt
Diginetica,4,55.19062643334677,19.459285008636744,50.280981958000595,16.65688618322713,5.541536599361422,/kaggle/working/results/checkpoints/gat_sagpool_diginetica.pt,/kaggle/working/results/checkpoints/gat_sagpool_diginetica.pt
