model,reference_method,dataset,metric,model_value,reference_value,delta,relative_delta_%
GAT-SR-GNN,SR-GNN,Yoochoose 1/64,Precision@20,68.94164370818277,70.57,-1.6283562918172265,-2.3074341672342733
GAT-SR-GNN,SR-GNN,Yoochoose 1/64,MRR@20,30.562543558508832,30.94,-0.3774564414911694,-1.2199626421821894
GAT-SR-GNN,SR-GNN,Diginetica,Precision@20,50.736139866574646,50.73,0.0061398665746494885,0.012103028926965284
GAT-SR-GNN,SR-GNN,Diginetica,MRR@20,16.855089593706992,17.59,-0.7349104062930074,-4.178001172785716
GAT-TAGNN,TAGNN,Yoochoose 1/64,Precision@20,68.59100504490321,71.02,-2.4289949550967833,-3.420156230775533
GAT-TAGNN,TAGNN,Yoochoose 1/64,MRR@20,29.8917979297367,31.12,-1.2282020702633005,-3.9466647502034076
GAT-TAGNN,TAGNN,Diginetica,Precision@20,50.92510434125341,51.31,-0.3848956587465935,-0.7501377095041775
GAT-TAGNN,TAGNN,Diginetica,MRR@20,17.128131640267313,18.03,-0.9018683597326884,-5.002043037896219
