dataset,epoch,train_loss,validation_loss,validation_precision@20,validation_mrr@20,epoch_seconds,train_examples,validation_examples,test_examples
Yoochoose 1/64,1,5.5744576506878065,4.735951615875438,64.71812897120454,28.503327281374826,107.86624193191528,332874,36985,55898
Yoochoose 1/64,2,4.48464684889863,4.516807286630083,67.41381641205895,30.063690261871763,106.6239333152771,332874,36985,55898
Yoochoose 1/64,3,4.232131220676042,4.45310063527793,68.36555360281196,30.906966904200168,106.36262702941895,332874,36985,55898
Yoochoose 1/64,4,3.795343266202017,4.365980973384889,69.47411112613221,32.331128859819714,106.0800244808197,332874,36985,55898
Yoochoose 1/64,5,3.7033091530238647,4.374076188440595,69.37677436798703,32.3901580897186,105.83434534072876,332874,36985,55898
Yoochoose 1/64,6,3.656665559874669,4.389685527011964,69.27673381100446,32.47976342552302,105.99161148071289,332874,36985,55898
Yoochoose 1/64,7,3.5777649493887784,4.394565698116458,69.3064755982155,32.57117839347548,106.15217113494873,332874,36985,55898
Yoochoose 1/64,8,3.5707039798116202,4.399585119788672,69.26321481681762,32.53916761174756,105.61756420135498,332874,36985,55898
Yoochoose 1/64,9,3.565039174379691,4.401757748397408,69.21184263890767,32.5474594702056,106.22631525993347,332874,36985,55898
Yoochoose 1/64,10,3.5549290640564144,4.4025514703095405,69.19832364472083,32.542378728705934,106.19071221351624,332874,36985,55898
Yoochoose 1/64,11,3.5539517046088975,4.403096667170218,69.20373124239556,32.547938873014594,105.81246018409729,332874,36985,55898
Yoochoose 1/64,12,3.553950348972004,4.403583495668806,69.20373124239556,32.54143647218018,105.56417512893677,332874,36985,55898
Diginetica,1,7.172862248736315,5.804054234028426,47.201412150610864,15.331601634612714,207.67560577392578,647523,71947,60858
Diginetica,2,5.47383752233728,5.507764709831396,50.81240357485371,16.74567013599941,206.81690216064453,647523,71947,60858
Diginetica,3,5.157132835064078,5.448336920867525,51.92433318970909,17.255316007039045,206.12062621116638,647523,71947,60858
Diginetica,4,4.3935885140234126,5.247479037274075,55.464439101004906,19.49043549104438,206.6307966709137,647523,71947,60858
Diginetica,5,4.156884632500771,5.282891853395137,55.32544789914798,19.44859678462569,206.4058301448822,647523,71947,60858
Diginetica,6,4.0135011047400235,5.349976416901488,54.837588780630185,19.350771934677567,205.91447377204895,647523,71947,60858
Diginetica,7,3.8134260691716553,5.3823817723726615,54.81396027631451,19.44259268325525,206.4792697429657,647523,71947,60858
Diginetica,8,3.7919516786228646,5.398739560443382,54.71527652299609,19.435001666602833,206.24565720558167,647523,71947,60858
Diginetica,9,3.7762414798795074,5.40988798080638,54.62771206582623,19.394817995438874,205.15671515464783,647523,71947,60858
