model,dataset,test_precision@20,test_mrr@20,test_loss,best_epoch,best_validation_precision@20,best_validation_mrr@20,train_examples,validation_examples,test_examples,num_items,checkpoint_path
GAT-SAGPool,Yoochoose 1/64,70.36208808901928,30.93688572202498,4.337271876162657,7,69.27673381100446,32.53235209321789,332874,36985,55898,37484,/kaggle/working/results/checkpoints/gat_sagpool_yoochoose_1_64.pt
GAT-SAGPool,Diginetica,50.3565677478721,16.833292770003382,5.53019000867362,4,55.468608837060614,19.459496701350414,647523,71947,60858,43098,/kaggle/working/results/checkpoints/gat_sagpool_diginetica.pt
