dataset,epoch,train_loss,validation_loss,validation_precision@20,validation_mrr@20,learning_rate,epoch_seconds,train_examples,validation_examples,test_examples
Yoochoose 1/64,1,7.4586481521796815,6.219190983993388,46.69460592131946,23.734923096239463,0.001,557.5721492767334,332874,36985,55898
Yoochoose 1/64,2,5.951810007285514,5.759540945609809,51.2586183587941,24.792061566307332,0.001,557.0438413619995,332874,36985,55898
Yoochoose 1/64,3,5.515114259879428,5.424679550848024,55.15479248343923,26.251192607314938,0.0005,555.8286120891571,332874,36985,55898
Yoochoose 1/64,4,5.087081675203246,5.173271623546729,58.28308773827227,28.131224959867136,0.0005,557.368186712265,332874,36985,55898
Yoochoose 1/64,5,4.9219070730882795,5.0594476033533455,59.77017709882385,28.584494209779475,0.0005,558.7611472606659,332874,36985,55898
Yoochoose 1/64,6,4.79091612742061,4.961638335748446,61.040962552386105,28.96952343515662,0.00025,557.0452301502228,332874,36985,55898
Yoochoose 1/64,7,4.6176894449493355,4.880523985070733,62.12788968500744,29.765302465463854,0.00025,557.2681283950806,332874,36985,55898
Yoochoose 1/64,8,4.552637202318694,4.848072323651512,62.82006218737326,29.769117322599175,0.00025,558.9013135433197,332874,36985,55898
Yoochoose 1/64,9,4.50478365780892,4.82056675173873,63.35811815600919,30.10047363367889,0.000125,556.7816669940948,332874,36985,55898
Yoochoose 1/64,10,4.4175895761264465,4.7790824947638235,63.83939434906043,30.485334134640137,0.000125,555.894528388977,332874,36985,55898
Yoochoose 1/64,11,4.388944548523198,4.766033632361729,63.90158172231986,30.60545333546691,0.000125,555.316433429718,332874,36985,55898
Yoochoose 1/64,12,4.365080743224288,4.747715845710122,64.09625523861025,30.595981695369336,6.25e-05,559.3818476200104,332874,36985,55898
Yoochoose 1/64,13,4.318257980431712,4.735601508651245,64.42611869676897,30.86610085741481,6.25e-05,559.1101551055908,332874,36985,55898
Yoochoose 1/64,14,4.305899847974613,4.733526132518381,64.43693389211843,30.887247059528,6.25e-05,556.2900047302246,332874,36985,55898
Yoochoose 1/64,15,4.295125807735542,4.7330468889344495,64.52886305258889,30.93008427389799,3.125e-05,554.1398048400879,332874,36985,55898
Yoochoose 1/64,16,4.2713945236973405,4.725546171653266,64.59645802352306,31.007142355107803,3.125e-05,558.6053943634033,332874,36985,55898
Yoochoose 1/64,17,4.264793645781444,4.723556596555628,64.69920237934298,30.998769989364355,3.125e-05,556.393413066864,332874,36985,55898
Yoochoose 1/64,18,4.258982694880229,4.719311425633345,64.8019467351629,31.027674286272358,1.5625e-05,555.8040096759796,332874,36985,55898
Yoochoose 1/64,19,4.246094420761307,4.718931700355929,64.76138975260241,31.01319805937908,1.5625e-05,556.2268588542938,332874,36985,55898
Yoochoose 1/64,20,4.242420217553494,4.719046741816681,64.8343923212113,31.088791275179126,1.5625e-05,556.2959365844727,332874,36985,55898
Yoochoose 1/64,21,4.239663267155389,4.717211762521498,64.8262809246992,31.090351526070336,7.8125e-06,554.5379276275635,332874,36985,55898
Yoochoose 1/64,22,4.231553667085293,4.714915718438578,64.87224550493443,31.129092507480333,7.8125e-06,553.1796038150787,332874,36985,55898
Yoochoose 1/64,23,4.2310124095670885,4.715373531425097,64.8830607002839,31.117274480461028,7.8125e-06,553.941192150116,332874,36985,55898
Yoochoose 1/64,24,4.230655696648374,4.714878215392699,64.88576449912127,31.13082788273243,3.90625e-06,555.8459987640381,332874,36985,55898
Yoochoose 1/64,25,4.22615973229193,4.714863544704947,64.9073948898202,31.121839332761063,3.90625e-06,556.5404829978943,332874,36985,55898
Yoochoose 1/64,26,4.226360184609279,4.7144800791212464,64.91280248749493,31.122422573517124,3.90625e-06,554.5036106109619,332874,36985,55898
Yoochoose 1/64,27,4.225549274103809,4.713997758883664,64.92902528051913,31.10590653305394,1.953125e-06,580.0975272655487,332874,36985,55898
Yoochoose 1/64,28,4.223404818160416,4.714553242521349,64.9236176828444,31.11909531380206,1.953125e-06,554.4117991924286,332874,36985,55898
Yoochoose 1/64,29,4.221891240605415,4.7138205061929686,64.92902528051913,31.104346947426954,1.953125e-06,553.3779189586639,332874,36985,55898
Yoochoose 1/64,30,4.221207492267889,4.713910317959231,64.93984047586859,31.101217400113907,9.765625e-07,555.4822514057159,332874,36985,55898
Diginetica,1,9.760898336023349,9.185320954330304,17.807552781908907,10.279175116026435,0.001,634.3957958221436,647523,71947,60858
Diginetica,2,8.306486484123957,7.369990753014394,30.09159520202371,11.992093651750722,0.001,634.113911151886,647523,71947,60858
Diginetica,3,6.56533874592396,6.209482907523177,41.27204747939455,13.958616998476758,0.0005,635.4873187541962,647523,71947,60858
Diginetica,4,5.6445275022019,5.765063629999786,47.066590684809654,16.06280740883749,0.0005,631.5239706039429,647523,71947,60858
Diginetica,5,5.399729442369477,5.638925435881168,48.62051232157005,16.567584274559007,0.0005,636.4784879684448,647523,71947,60858
Diginetica,6,5.269320356850882,5.567957405749276,49.826955953688135,16.930745198635293,0.00025,634.2755200862885,647523,71947,60858
Diginetica,7,4.997939682422461,5.434337385378747,52.1995357693858,18.02818669698478,0.00025,632.775639295578,647523,71947,60858
Diginetica,8,4.934607770327889,5.421949723047655,52.421921692356875,18.09088262535476,0.00025,635.0159902572632,647523,71947,60858
Diginetica,9,4.900284096761531,5.42695422479869,52.52616509374957,18.09534740701173,0.000125,631.9962513446808,647523,71947,60858
Diginetica,10,4.746457638535091,5.366525308317739,53.8160034469818,18.826944916478997,0.000125,634.9229347705841,647523,71947,60858
Diginetica,11,4.717940650124409,5.3700001714545955,53.77291617440616,18.763834933040854,0.000125,647.2549624443054,647523,71947,60858
Diginetica,12,4.703722633189834,5.374607133675144,53.62558550043782,18.771161445476533,6.25e-05,633.7137341499329,647523,71947,60858
Diginetica,13,4.6104555961270055,5.360455773088061,54.14402268336414,19.134341348396777,6.25e-05,633.2638294696808,647523,71947,60858
