dataset,test_precision@20,test_mrr@20,test_loss,paper_precision@20,paper_mrr@20,delta_precision@20,delta_mrr@20,best_epoch,best_validation_precision@20,best_validation_mrr@20,train_examples,validation_examples,test_examples,num_items,checkpoint_path
Yoochoose 1/64,70.61075530430426,31.003700854710132,4.328161679029405,71.02,31.12,-0.4092446956957332,-0.11629914528986873,10,69.72286061916994,32.66876621408786,332874,36985,55898,37484,/kaggle/working/results/checkpoints/gat_tagnn_yoochoose_1_64.pt
Diginetica,51.25209504091492,17.352993099135297,5.522456880897472,51.31,18.03,-0.05790495908508575,-0.6770069008647042,4,55.7493710648116,19.65077164118548,647523,71947,60858,43098,/kaggle/working/results/checkpoints/gat_tagnn_diginetica.pt
