dataset,gat_sr_gnn_precision@20,gat_tagnn_precision@20,precision_delta_tagnn_minus_sr,gat_sr_gnn_mrr@20,gat_tagnn_mrr@20,mrr_delta_tagnn_minus_sr
Diginetica,50.24976174044497,51.25209504091492,1.0023333004699495,16.646332120859345,17.352993099135297,0.7066609782759521
Yoochoose 1/64,70.1241547103653,70.61075530430426,0.4866005939389595,31.146230274178464,31.003700854710132,-0.14252941946833175
