model,reference_method,dataset,metric,model_value,reference_value,delta,relative_delta_%
GAT-SR-GNN,SR-GNN,Yoochoose 1/64,Precision@20,68.72875594833447,70.57,-1.8412440516655266,-2.609103091491465
GAT-SR-GNN,SR-GNN,Yoochoose 1/64,MRR@20,30.354838888394973,30.94,-0.5851611116050286,-1.8912770252263367
GAT-SR-GNN,SR-GNN,Diginetica,Precision@20,50.62933385914752,50.73,-0.10066614085247494,-0.19843512882411776
GAT-SR-GNN,SR-GNN,Diginetica,MRR@20,16.725053249420434,17.59,-0.8649467505795663,-4.917264073789461
