dataset,epoch,train_loss,validation_loss,validation_precision@20,validation_mrr@20,epoch_seconds,train_examples,validation_examples,test_examples
Diginetica,1,7.198427668709484,5.818677515122455,46.68158505566598,15.063451926322196,229.60602951049805,647523,71947,60858
Diginetica,2,5.505669652735705,5.521038571929996,50.444076889932866,16.566907392723962,229.7415852546692,647523,71947,60858
Diginetica,3,5.206679961354194,5.457581294894025,51.455932839451265,16.984974242934165,224.37849020957947,647523,71947,60858
Diginetica,4,4.440465866864257,5.234489006292103,55.47972813320917,19.284069890208606,225.9763786792755,647523,71947,60858
Diginetica,5,4.2865943888676,5.2523900813214155,55.44637024476351,19.230103983511853,224.43218541145325,647523,71947,60858
Diginetica,6,4.1363056642922515,5.309174875759943,55.05719487956412,19.109752063633778,248.26594185829163,647523,71947,60858
Diginetica,7,3.9475579800255254,5.332270028591255,55.0627545276384,19.200063307495704,222.70724892616272,647523,71947,60858
Diginetica,8,3.9270659421873053,5.343394334091545,54.929322973855754,19.207786940112662,223.52894258499146,647523,71947,60858
Diginetica,9,3.913051507402824,5.349718123066723,54.865387021001574,19.186961411425724,223.6757254600525,647523,71947,60858
