label,dataset,overrides,best_epoch,val_p@20,val_mrr@20,test_p@20,test_mrr@20
b1_layers2,Yoochoose 1/64,{'num_layers': 2},10,69.31458699472759,32.59153418433301,70.10089806433146,31.077971114315215
b2_heads8_h128,Yoochoose 1/64,"{'num_heads': 8, 'hidden_dim': 128}",9,69.2172502365824,32.78594631882508,69.97388099753121,31.093469582762786
b3_blocks2,Yoochoose 1/64,{'sagpool_blocks': 2},9,69.41733135054751,32.55894872777056,70.30484096032059,31.081709545615524
b4_ratio07,Yoochoose 1/64,{'sagpool_ratio': 0.7},12,69.40921995403542,32.68062077391159,70.42291316326165,31.158029396310724
b4_ratio04,Yoochoose 1/64,{'sagpool_ratio': 0.4},7,69.265918615655,32.517325785638064,70.23507102221905,31.15788942637514
b5_gat_scorer,Yoochoose 1/64,{'sagpool_scorer': 'gat'},7,69.1604704609977,32.67172534030338,70.16351211134567,31.022086937340767
b6_hidden128,Yoochoose 1/64,{'hidden_dim': 128},11,69.20373124239556,32.76815950507906,69.80035063866328,30.991578104670964
b7_gated,Yoochoose 1/64,{'readout_combine': 'gated'},7,69.36055157496283,32.492689199990416,70.30841890586426,30.9530961517358
