dataset,epoch,train_loss,validation_loss,validation_precision@20,validation_mrr@20,epoch_seconds,train_examples,validation_examples,test_examples
Yoochoose 1/64,1,5.574372542917431,4.761295256718472,64.22603758280384,28.47284273954925,150.0763020515442,332874,36985,55898
Yoochoose 1/64,2,4.507200075149754,4.527621501101599,67.42733540624577,30.006795065522564,150.58154344558716,332874,36985,55898
Yoochoose 1/64,3,4.244986954323931,4.474897488172076,67.92213059348384,30.47116446047034,150.9934527873993,332874,36985,55898
Yoochoose 1/64,4,3.8331600136023667,4.37249727398701,69.37407056914965,32.369636220030806,149.55808472633362,332874,36985,55898
Yoochoose 1/64,5,3.726540384580704,4.380546929079793,69.42814654589698,32.453975236559295,144.2331850528717,332874,36985,55898
Yoochoose 1/64,6,3.6672809752051836,4.397088937023225,69.33621738542652,32.35418126053531,156.07881808280945,332874,36985,55898
Yoochoose 1/64,7,3.5824373885812366,4.405694325614559,69.39570095984858,32.539981477434964,159.09432530403137,332874,36985,55898
Yoochoose 1/64,8,3.573530039372473,4.411919847346326,69.37947816682438,32.574371486414734,162.10498070716858,332874,36985,55898
Yoochoose 1/64,9,3.5686732430971673,4.415492595684468,69.30377179937813,32.587087558252804,164.802579164505,332874,36985,55898
Yoochoose 1/64,10,3.5569600488143163,4.416291181438756,69.31458699472759,32.59153418433301,165.9006416797638,332874,36985,55898
Yoochoose 1/64,11,3.555794194695873,4.417015278550505,69.30377179937813,32.58299159861842,167.37050008773804,332874,36985,55898
Yoochoose 1/64,12,3.555235378814,4.417498990556944,69.30917939705286,32.58042901629481,164.74257731437683,332874,36985,55898
Yoochoose 1/64,13,3.555114312648008,4.41757702959604,69.31188319589023,32.57847932282051,174.9144639968872,332874,36985,55898
Yoochoose 1/64,14,3.5553711133558554,4.417648400908405,69.31188319589023,32.578444068973674,161.26069474220276,332874,36985,55898
Yoochoose 1/64,15,3.554378747988768,4.417724375372177,69.31458699472759,32.580463089168724,172.92428970336914,332874,36985,55898
