label,dataset,overrides,best_epoch,val_p@20,val_mrr@20,test_p@20,test_mrr@20,val_minus_test_mrr@20
c1_dropout02,Diginetica,{'dropout': 0.2},5,55.308768954925156,19.27564571582678,49.899766669953,16.357068764931892,2.918576950894888
c1_dropout03,Diginetica,{'dropout': 0.3},4,55.47972813320917,19.284069890208606,50.10187649939203,16.58608388773826,2.6979860024703477
c3_wd1e4,Diginetica,{'weight_decay': 0.0001},8,54.50678972021071,18.711993037077782,49.18498800486378,16.239969501353073,2.472023535724709
c4_ls01,Diginetica,{'label_smoothing': 0.1},-1,,,,,
c5_edge02,Diginetica,{'edge_dropout': 0.2},4,55.47694830917203,19.345856953580522,50.041079233625815,16.55547765698402,2.7903792965965017
c2_emb01,Diginetica,{'embedding_dropout': 0.1},4,55.26846150638664,19.432263591250518,49.9046961779881,16.646985259581523,2.7852783316689944
c_combo_best,Diginetica,"{'dropout': 0.2, 'weight_decay': 0.0001, 'label_smoothing': 0.1, 'embedding_dropout': 0.1}",-1,,,,,
