model,dataset,test_precision@20,test_mrr@20,test_loss,best_epoch,best_validation_precision@20,best_validation_mrr@20,train_examples,validation_examples,test_examples,num_items,checkpoint_path
GAT-SAGPool,Yoochoose 1/64,70.03649504454542,30.89542820558654,4.343515929631877,10,69.27943760984182,32.500136147097216,332874,36985,55898,37484,/kaggle/working/results/checkpoints/gat_sagpool_yoochoose_1_64.pt
GAT-SAGPool,Diginetica,50.280981958000595,16.65688618322713,5.541536599361422,4,55.19062643334677,19.459285008636744,647523,71947,60858,43098,/kaggle/working/results/checkpoints/gat_sagpool_diginetica.pt
