dataset,test_precision@20,test_mrr@20,test_loss,paper_precision@20,paper_mrr@20,delta_precision@20,delta_mrr@20,best_epoch,best_validation_precision@20,best_validation_mrr@20,train_examples,validation_examples,test_examples,num_items,checkpoint_path
Yoochoose 1/64,66.88969193888869,29.642705906439375,4.762398863236266,71.02,31.12,-4.130308061111307,-1.4772940935606265,21,65.20751656076789,31.491975045549044,332874,36985,55898,37484,/kaggle/working/results/checkpoints/gat_tagnn_yoochoose_1_64.pt
Diginetica,47.660126852673436,15.651103254489547,6.061805522384275,51.31,18.03,-3.6498731473265664,-2.3788967455104544,7,51.692217882608034,18.235213328384084,647523,71947,60858,43098,/kaggle/working/results/checkpoints/gat_tagnn_diginetica.pt
