dataset,best_epoch,best_validation_precision@20,best_validation_mrr@20,test_precision@20,test_mrr@20,test_loss,best_checkpoint_path,final_checkpoint_path
Yoochoose 1/64,16,69.49033391915641,32.7174926052323,70.48910515581953,31.160490590219418,4.323710053725176,/kaggle/working/results/checkpoints/gat_sagpool_v2_digi_reg_yoochoose_1_64.pt,/kaggle/working/results/checkpoints/gat_sagpool_v2_digi_reg_yoochoose_1_64.pt
Diginetica,10,54.139852947308434,18.893278845869588,48.93193992572875,16.27335142378638,5.617128376689812,/kaggle/working/results/checkpoints/gat_sagpool_v2_digi_reg_diginetica.pt,/kaggle/working/results/checkpoints/gat_sagpool_v2_digi_reg_diginetica.pt
