dataset,epoch,train_loss,validation_loss,validation_precision@20,validation_mrr@20,epoch_seconds,train_examples,validation_examples,test_examples
Yoochoose 1/64,1,5.596526226231598,4.764436356422142,64.1638502095444,28.30458429224897,127.28126049041748,332874,36985,55898
Yoochoose 1/64,2,4.4928629902208375,4.5194227385717545,67.37325942949845,30.11579575692703,127.47992897033691,332874,36985,55898
Yoochoose 1/64,3,4.233176063428225,4.4533512354767355,68.27632824117886,30.879585551815904,126.59434938430786,332874,36985,55898
Yoochoose 1/64,4,3.7902140775660245,4.360166264818023,69.43355414357171,32.47081458512167,126.95110845565796,332874,36985,55898
Yoochoose 1/64,5,3.7601503511040333,4.371971525726277,69.52548330404218,32.51210855151635,126.33834648132324,332874,36985,55898
Yoochoose 1/64,6,3.660112924023783,4.37730683509411,69.41733135054751,32.60561419738794,126.36292481422424,332874,36985,55898
Yoochoose 1/64,7,3.5770576039879143,4.382709227463064,69.49303771799379,32.68753209564675,126.69802188873291,332874,36985,55898
Yoochoose 1/64,8,3.5701727832961687,4.386679234014132,69.52007570636745,32.70661010989728,125.91597080230713,332874,36985,55898
Yoochoose 1/64,9,3.5638424059920926,4.390149163316678,69.47411112613221,32.70336969037048,125.45189571380615,332874,36985,55898
Yoochoose 1/64,10,3.554332337349975,4.390414707142066,69.49033391915641,32.698158397213,126.72929310798645,332874,36985,55898
Yoochoose 1/64,11,3.55302408463992,4.390769843621981,69.49303771799379,32.703619803933655,125.57258415222168,332874,36985,55898
Yoochoose 1/64,12,3.5534038959623317,4.391141566067302,69.49033391915641,32.71323101543423,125.55204796791077,332874,36985,55898
Yoochoose 1/64,13,3.551705448159493,4.391194593750078,69.49033391915641,32.71625663712973,125.7615897655487,332874,36985,55898
Yoochoose 1/64,14,3.5523702250423312,4.391244550838782,69.49033391915641,32.71721125003597,125.60519027709961,332874,36985,55898
Yoochoose 1/64,15,3.5525723570878087,4.391286168982245,69.49033391915641,32.71742632634997,148.32871532440186,332874,36985,55898
Yoochoose 1/64,16,3.5518545442909377,4.391289433418327,69.49033391915641,32.7174926052323,125.90890216827393,332874,36985,55898
Yoochoose 1/64,17,3.5519133142880444,4.391292661110162,69.49033391915641,32.717472982516206,126.21088099479675,332874,36985,55898
Yoochoose 1/64,18,3.5513683029059333,4.391296150588628,69.49033391915641,32.71747165714484,126.01065278053284,332874,36985,55898
Yoochoose 1/64,19,3.5518410867019043,4.391296134472731,69.49033391915641,32.71747165714484,126.23977541923523,332874,36985,55898
Yoochoose 1/64,20,3.55233083426692,4.391296148010085,69.49033391915641,32.71747165714484,126.4285843372345,332874,36985,55898
Yoochoose 1/64,21,3.5521468980697817,4.3912961396298185,69.49033391915641,32.71747165714484,125.88464856147766,332874,36985,55898
Diginetica,1,8.011270586290655,6.46424737002405,37.31635787454654,11.20949651768589,247.3900535106659,647523,71947,60858
Diginetica,2,6.419796987659408,6.063635470439775,42.22691703615161,12.594995117966908,246.03969860076904,647523,71947,60858
Diginetica,3,6.143100537112847,5.930067032752482,43.712732984002116,13.360279191997892,245.48439288139343,647523,71947,60858
Diginetica,4,5.392749714624163,5.362174191378748,52.21899453764577,17.713407220384077,244.671941280365,647523,71947,60858
Diginetica,5,5.088358093542217,5.447333272032631,52.44833002070969,17.75105136104284,245.18351531028748,647523,71947,60858
Diginetica,6,4.988681785635316,5.282250284159449,53.690911365310576,18.302073924008315,245.83525824546814,647523,71947,60858
Diginetica,7,4.749951232895617,5.255201129109268,54.2996928294439,18.789956905923777,257.1184377670288,647523,71947,60858
Diginetica,8,4.931479943953974,5.313613931274478,53.77430608642473,18.723175184243594,245.92580032348633,647523,71947,60858
Diginetica,9,4.806543437978949,5.278820096343772,54.07035734637997,18.83594854473811,245.98010921478271,647523,71947,60858
Diginetica,10,4.736334488132343,5.271577958780851,54.139852947308434,18.893278845869588,258.7589957714081,647523,71947,60858
Diginetica,11,4.710853951670607,5.270136546659153,54.280234061183926,18.887969298874847,248.4729607105255,647523,71947,60858
Diginetica,12,4.695010576528105,5.270809436024361,54.3177616856853,18.867819628056132,247.57097029685974,647523,71947,60858
Diginetica,13,4.688195833651579,5.27090420172803,54.32471124577814,18.862763034667275,246.72265481948853,647523,71947,60858
Diginetica,14,4.686497989760189,5.270974282971704,54.33027089385242,18.86360768070794,247.11447286605835,647523,71947,60858
Diginetica,15,4.686779851049638,5.271080607590633,54.3177616856853,18.86713886707688,245.88626742362976,647523,71947,60858
