dataset,test_precision@20,test_mrr@20,test_loss,paper_precision@20,paper_mrr@20,delta_precision@20,delta_mrr@20,best_epoch,best_validation_precision@20,best_validation_mrr@20,train_examples,validation_examples,test_examples,num_items,checkpoint_path
Yoochoose 1/64,67.17413860961037,29.765400290595828,4.617768131772573,71.02,31.12,-3.8458613903896293,-1.354599709404173,30,64.93984047586859,31.13082788273243,332874,36985,55898,37484,/kaggle/working/results/checkpoints/gat_tagnn_yoochoose_1_64.pt
Diginetica,49.553057938151106,16.82329949236021,5.688735482726332,51.31,18.03,-1.7569420618488962,-1.2067005076397912,26,54.442853767356524,19.367437382421198,647523,71947,60858,43098,/kaggle/working/results/checkpoints/gat_tagnn_diginetica.pt
