model,iteration,folder,dataset,test_precision@20,test_mrr@20,test_loss,best_epoch,best_validation_precision@20,best_validation_mrr@20,train_examples,validation_examples,test_examples,num_items,checkpoint_path,run_label
GAT-SR-GNN,2,results-2,Diginetica,50.62933385914752,16.725053249420434,5.656550333507665,28,55.2073053775696,19.485921018166408,647523,71947,60858,43098,/kaggle/working/results/checkpoints/gat_sr_gnn_diginetica.pt,
GAT-SR-GNN,3,results-3,Diginetica,50.736139866574646,16.855089593706992,5.653700135603443,19,55.4783382211906,19.562712989128567,647523,71947,60858,43098,/kaggle/working/results/checkpoints/gat_sr_gnn_diginetica.pt,
GAT-SR-GNN,4,results-4,Diginetica,50.45351473922903,16.802281048237628,5.663553957519336,19,55.2434430900524,19.52882529560987,647523,71947,60858,43098,/kaggle/working/results/checkpoints/gat_sr_gnn_diginetica.pt,
GAT-SR-GNN,5,results-5,Diginetica,48.17279568832364,15.789105020980838,6.010882888921064,10,53.293396527999775,18.8889807182924,647523,71947,60858,43098,/kaggle/working/results/checkpoints/gat_sr_gnn_diginetica.pt,
GAT-SR-GNN,6,results-6,Diginetica,50.39107430411778,16.758776840117942,5.6710675964103485,28,55.22676414582957,19.53211905555397,647523,71947,60858,43098,/kaggle/working/results/checkpoints/gat_sr_gnn_diginetica.pt,
GAT-SR-GNN,7,results-7,Diginetica,50.266193433895296,16.696224399438655,5.683768111965487,26,55.15031898480826,19.470971245721746,647523,71947,60858,43098,/kaggle/working/results/checkpoints/gat_sr_gnn_diginetica.pt,
GAT-SR-GNN,8,results-8,Diginetica,50.299056820795954,16.56897213054011,5.553025718601711,4,55.803577633535795,19.461603042857252,647523,71947,60858,43098,/kaggle/working/results/checkpoints/gat_sr_gnn_diginetica.pt,
GAT-SR-GNN,9,results-9,Diginetica,50.331920207696605,16.66439670616776,5.641395888932963,4,55.84944473014858,19.446673955867915,647523,71947,60858,43098,/kaggle/working/results/checkpoints/gat_sr_gnn_diginetica.pt,
GAT-SR-GNN,10,results-10,Diginetica,50.427224029708505,16.688019804121016,5.647138611110504,4,55.65485704754889,19.532865432592285,647523,71947,60858,43098,/kaggle/working/results/checkpoints/gat_sr_gnn_diginetica.pt,
GAT-SR-GNN,1,results-1,Yoochoose 1/64,70.1241547103653,31.146230274178464,4.341722839381674,9,69.47411112613221,32.70574200196864,332874,36985,55898,37484,/kaggle/working/results/checkpoints/gat_sr_gnn_yoochoose_1_64.pt,
GAT-SR-GNN,2,results-2,Yoochoose 1/64,68.72875594833447,30.354838888394973,4.455313577289943,29,66.87305664458565,31.679530023190885,332874,36985,55898,37484,/kaggle/working/results/checkpoints/gat_sr_gnn_yoochoose_1_64.pt,
GAT-SR-GNN,3,results-3,Yoochoose 1/64,68.94164370818277,30.562543558508832,4.450819712853175,25,66.90279843179667,31.759023538743932,332874,36985,55898,37484,/kaggle/working/results/checkpoints/gat_sr_gnn_yoochoose_1_64.pt,
GAT-SR-GNN,4,results-4,Yoochoose 1/64,68.75380156714014,30.594947324540772,4.455015960884988,27,66.75408949574151,31.767053453281186,332874,36985,55898,37484,/kaggle/working/results/checkpoints/gat_sr_gnn_yoochoose_1_64.pt,
GAT-SR-GNN,5,results-5,Yoochoose 1/64,67.63211563919997,30.137226091838233,4.641635290595124,24,66.68379072596998,31.96128777141295,332874,36985,55898,37484,/kaggle/working/results/checkpoints/gat_sr_gnn_yoochoose_1_64.pt,
GAT-SR-GNN,6,results-6,Yoochoose 1/64,68.7144441661598,30.557969393698254,4.455438273252198,27,66.84061105853725,31.819135674402748,332874,36985,55898,37484,/kaggle/working/results/checkpoints/gat_sr_gnn_yoochoose_1_64.pt,
GAT-SR-GNN,7,results-7,Yoochoose 1/64,68.48903359690865,30.515897881814528,4.465298857790075,22,66.58915776666215,31.95978629584246,332874,36985,55898,37484,/kaggle/working/results/checkpoints/gat_sr_gnn_yoochoose_1_64.pt,
GAT-SR-GNN,8,results-8,Yoochoose 1/64,70.18319081183584,31.057228151982216,4.336416633138759,8,69.46059213194539,32.67873001562771,332874,36985,55898,37484,/kaggle/working/results/checkpoints/gat_sr_gnn_yoochoose_1_64.pt,
GAT-SR-GNN,9,results-9,Yoochoose 1/64,70.17424594797667,31.17208014899765,4.441850746188497,11,69.46059213194539,32.733083593212015,332874,36985,55898,37484,/kaggle/working/results/checkpoints/gat_sr_gnn_yoochoose_1_64.pt,
GAT-SR-GNN,10,results-10,Yoochoose 1/64,70.04722888117642,31.096935145965592,4.440567513980133,8,69.75260240638096,32.817845258806884,332874,36985,55898,37484,/kaggle/working/results/checkpoints/gat_sr_gnn_yoochoose_1_64.pt,
GAT-TAGNN,1,results-1,Diginetica,51.25209504091492,17.352993099135297,5.522456880897472,4,55.7493710648116,19.65077164118548,647523,71947,60858,43098,/kaggle/working/results/checkpoints/gat_tagnn_diginetica.pt,
GAT-TAGNN,3,results-3,Diginetica,50.92510434125341,17.128131640267313,5.616529656951507,25,55.26846150638664,19.505326986853017,647523,71947,60858,43098,/kaggle/working/results/checkpoints/gat_tagnn_diginetica.pt,
GAT-TAGNN,5,results-5,Diginetica,47.66012685267344,15.651103254489549,6.061805522384275,7,51.692217882608034,18.235213328384084,647523,71947,60858,43098,/kaggle/working/results/checkpoints/gat_tagnn_diginetica.pt,
GAT-TAGNN,6,results-6,Diginetica,49.553057938151106,16.82329949236021,5.688735482726332,26,54.442853767356524,19.3674373824212,647523,71947,60858,43098,/kaggle/working/results/checkpoints/gat_tagnn_diginetica.pt,
GAT-TAGNN,7,results-7,Diginetica,48.908935554898285,16.330069162674096,5.828136442994863,23,53.663113124939194,19.09923589786138,647523,71947,60858,43098,/kaggle/working/results/checkpoints/gat_tagnn_diginetica.pt,
GAT-TAGNN,8,results-8,Diginetica,51.31289230668113,17.373920815856557,5.5138049125357975,4,55.85222455418572,19.623155008123284,647523,71947,60858,43098,/kaggle/working/results/checkpoints/gat_tagnn_diginetica.pt,
GAT-TAGNN,9,results-9,Diginetica,51.35068520161688,17.3452725588008,5.591855105264974,4,55.87307323446426,19.670324671390578,647523,71947,60858,43098,/kaggle/working/results/checkpoints/gat_tagnn_diginetica.pt,
GAT-TAGNN,10,results-10,Diginetica,51.36218738703211,17.451366725872614,5.603672970888347,4,55.97175698778267,19.659151433067496,647523,71947,60858,43098,/kaggle/working/results/checkpoints/gat_tagnn_diginetica.pt,
GAT-TAGNN,1,results-1,Yoochoose 1/64,70.61075530430426,31.003700854710132,4.328161679029405,10,69.72286061916994,32.66876621408786,332874,36985,55898,37484,/kaggle/working/results/checkpoints/gat_tagnn_yoochoose_1_64.pt,
GAT-TAGNN,3,results-3,Yoochoose 1/64,68.59100504490321,29.8917979297367,4.545708339318141,30,66.83790725969988,31.335832235602663,332874,36985,55898,37484,/kaggle/working/results/checkpoints/gat_tagnn_yoochoose_1_64.pt,
GAT-TAGNN,5,results-5,Yoochoose 1/64,66.88969193888869,29.642705906439375,4.762398863236266,21,65.20751656076789,31.491975045549044,332874,36985,55898,37484,/kaggle/working/results/checkpoints/gat_tagnn_yoochoose_1_64.pt,
GAT-TAGNN,6,results-6,Yoochoose 1/64,67.17413860961037,29.765400290595828,4.617768131772573,30,64.93984047586859,31.13082788273243,332874,36985,55898,37484,/kaggle/working/results/checkpoints/gat_tagnn_yoochoose_1_64.pt,
GAT-TAGNN,7,results-7,Yoochoose 1/64,67.6911517406705,29.63004952667224,4.622890179287517,29,66.02406380965256,31.405131757879833,332874,36985,55898,37484,/kaggle/working/results/checkpoints/gat_tagnn_yoochoose_1_64.pt,
GAT-TAGNN,8,results-8,Yoochoose 1/64,70.63043400479445,30.965021552372125,4.318554059359301,9,69.77693659591726,32.716273877271625,332874,36985,55898,37484,/kaggle/working/results/checkpoints/gat_tagnn_yoochoose_1_64.pt,
GAT-TAGNN,9,results-9,Yoochoose 1/64,70.64474578696912,31.03752790006987,4.419389128450409,11,69.7742327970799,32.68578012488864,332874,36985,55898,37484,/kaggle/working/results/checkpoints/gat_tagnn_yoochoose_1_64.pt,
GAT-TAGNN,10,results-10,Yoochoose 1/64,70.8880460839386,31.186790101886192,4.391450348205441,5,69.7336758145194,32.80800304075053,332874,36985,55898,37484,/kaggle/working/results/checkpoints/gat_tagnn_yoochoose_1_64.pt,
