dataset,epoch,train_loss,validation_loss,validation_precision@20,validation_mrr@20,learning_rate,epoch_seconds,train_examples,validation_examples,test_examples
Yoochoose 1/64,1,9.87020999509735,6.653929656690015,42.90387995133162,22.03920850435334,0.001,552.6726467609406,332874,36985,55898
Yoochoose 1/64,2,6.1866652515559,5.841191380833297,50.45018250642152,24.150789291033217,0.001,551.8123662471771,332874,36985,55898
Yoochoose 1/64,3,5.538204225801687,5.398171332489402,56.34716777071786,26.42916102948923,0.0005,548.3350210189819,332874,36985,55898
Yoochoose 1/64,4,5.041811865376244,5.136078394247387,59.77828849533595,28.372862912423386,0.0005,548.1786487102509,332874,36985,55898
Yoochoose 1/64,5,4.850314193069668,5.021845145984261,61.211301879140194,29.012703884610037,0.0005,550.6397430896759,332874,36985,55898
Yoochoose 1/64,6,4.704268887121829,4.8969479728199525,62.6956874408544,29.44179537490653,0.00025,549.6787638664246,332874,36985,55898
Yoochoose 1/64,7,4.525124002017396,4.830219019711525,63.69068541300527,30.180360913453946,0.00025,546.7107338905334,332874,36985,55898
Yoochoose 1/64,8,4.459261259434476,4.792166149711325,64.25848316885224,30.234227961135005,0.00025,547.7976312637329,332874,36985,55898
Yoochoose 1/64,9,4.406946078553355,4.78276315759739,64.62890360957145,30.544318317383933,0.000125,546.3253636360168,332874,36985,55898
Yoochoose 1/64,10,4.321869310114546,4.726921158770347,65.09666080843586,30.88104586867492,0.000125,545.8218145370483,332874,36985,55898
Yoochoose 1/64,11,4.2938084696928644,4.720512483093212,65.2859267270515,31.03590513639101,0.000125,543.0010607242584,332874,36985,55898
Yoochoose 1/64,12,4.270388030303655,4.704309107726436,65.44274705961877,31.007737060068298,6.25e-05,549.1523516178131,332874,36985,55898
Yoochoose 1/64,13,4.227082331601422,4.694266071476871,65.56712180613762,31.150303302108394,6.25e-05,547.2687468528748,332874,36985,55898
Yoochoose 1/64,14,4.211746015564578,4.689966202491326,65.62390158172232,31.182876402290347,6.25e-05,546.7014472484589,332874,36985,55898
Yoochoose 1/64,15,4.200582112834355,4.684131794819014,65.73205353521698,31.24647128899484,3.125e-05,545.4647433757782,332874,36985,55898
Yoochoose 1/64,16,4.177006729541421,4.6875816538992385,65.78072191428957,31.31669286233083,3.125e-05,546.7595825195312,332874,36985,55898
Yoochoose 1/64,17,4.171672888572285,4.681973215791363,65.79424090847641,31.308052049579857,3.125e-05,544.873946428299,332874,36985,55898
Yoochoose 1/64,18,4.165380522309457,4.676819528778518,65.90509666080844,31.32705668363923,1.5625e-05,545.2083387374878,332874,36985,55898
Yoochoose 1/64,19,4.153055258891144,4.6807479706909,65.90509666080844,31.336525389354293,1.5625e-05,547.3568103313446,332874,36985,55898
Yoochoose 1/64,20,4.148982329573924,4.679797821243469,65.9159118561579,31.36235053916066,1.5625e-05,546.4840140342712,332874,36985,55898
Yoochoose 1/64,21,4.147064816120409,4.678062100853326,65.94565364336893,31.37359048766801,7.8125e-06,545.4417860507965,332874,36985,55898
Yoochoose 1/64,22,4.140045896396976,4.675588076027951,65.97269163174259,31.402034576444894,7.8125e-06,543.1434710025787,332874,36985,55898
Yoochoose 1/64,23,4.139770715803656,4.67590635815907,65.98621062592943,31.405131757879833,7.8125e-06,541.9203236103058,332874,36985,55898
Yoochoose 1/64,24,4.138640934777073,4.673936741503893,66.00243341895363,31.397827404229016,3.90625e-06,546.1655504703522,332874,36985,55898
Yoochoose 1/64,25,4.133572789131594,4.675962658916049,66.00784101662836,31.39909923471469,3.90625e-06,547.5725519657135,332874,36985,55898
Yoochoose 1/64,26,4.133659204362944,4.674052469244,66.01865621197783,31.39681638826208,3.90625e-06,544.6874475479126,332874,36985,55898
Yoochoose 1/64,27,4.132439436877269,4.674883147744177,65.99972962011627,31.395129762953548,1.953125e-06,546.9856925010681,332874,36985,55898
