model,reference_method,dataset,metric,model_value,reference_value,delta,relative_delta_%
GAT-SR-GNN,SR-GNN,Yoochoose 1/64,Precision@20,68.75380156714014,70.57,-1.8161984328598493,-2.5736126298141553
GAT-SR-GNN,SR-GNN,Yoochoose 1/64,MRR@20,30.594947324540772,30.94,-0.3450526754592289,-1.1152316595320908
GAT-SR-GNN,SR-GNN,Diginetica,Precision@20,50.45351473922903,50.73,-0.27648526077096847,-0.5450133269682013
GAT-SR-GNN,SR-GNN,Diginetica,MRR@20,16.802281048237628,17.59,-0.7877189517623719,-4.478220305641682
