dataset,test_precision@20,test_mrr@20,test_loss,best_epoch,best_validation_precision@20,best_validation_mrr@20,train_examples,validation_examples,test_examples,num_items,checkpoint_path
Yoochoose 1/64,70.04722888117642,31.096935145965592,4.440567513980133,8,69.75260240638096,32.817845258806884,332874,36985,55898,37484,/kaggle/working/results/checkpoints/gat_sr_gnn_yoochoose_1_64.pt
Diginetica,50.427224029708505,16.688019804121016,5.647138611110504,4,55.65485704754889,19.532865432592285,647523,71947,60858,43098,/kaggle/working/results/checkpoints/gat_sr_gnn_diginetica.pt
