dataset,test_precision@20,test_mrr@20,test_loss,paper_precision@20,paper_mrr@20,delta_precision@20,delta_mrr@20,best_epoch,best_validation_precision@20,best_validation_mrr@20,train_examples,validation_examples,test_examples,num_items,checkpoint_path
Yoochoose 1/64,70.8880460839386,31.186790101886192,4.391450348205441,71.02,31.12,-0.1319539160613914,0.06679010188619117,5,69.7336758145194,32.80800304075053,332874,36985,55898,37484,/kaggle/working/results/checkpoints/gat_tagnn_yoochoose_1_64.pt
Diginetica,51.36218738703211,17.451366725872614,5.603672970888347,51.31,18.03,0.0521873870321059,-0.5786332741273874,4,55.971756987782676,19.659151433067496,647523,71947,60858,43098,/kaggle/working/results/checkpoints/gat_tagnn_diginetica.pt
