model,reference_method,dataset,metric,model_value,reference_value,delta,relative_delta_%
GAT-SR-GNN,SR-GNN,Yoochoose 1/64,Precision@20,70.1241547103653,70.57,-0.44584528963468983,-0.6317773694695903
GAT-SR-GNN,SR-GNN,Yoochoose 1/64,MRR@20,31.146230274178464,30.94,0.20623027417846274,0.6665490438864341
GAT-SR-GNN,SR-GNN,Diginetica,Precision@20,50.24976174044497,50.73,-0.48023825955502986,-0.946655350985669
GAT-SR-GNN,SR-GNN,Diginetica,MRR@20,16.646332120859345,17.59,-0.943667879140655,-5.36479749369332
GAT-TAGNN,TAGNN,Yoochoose 1/64,Precision@20,70.61075530430426,71.02,-0.4092446956957332,-0.576238659104102
GAT-TAGNN,TAGNN,Yoochoose 1/64,MRR@20,31.003700854710132,31.12,-0.11629914528986873,-0.3737119064584471
GAT-TAGNN,TAGNN,Diginetica,Precision@20,51.25209504091492,51.31,-0.05790495908508575,-0.11285316524086093
GAT-TAGNN,TAGNN,Diginetica,MRR@20,17.352993099135297,18.03,-0.6770069008647042,-3.7548912970865453
