dataset,epoch,train_loss,validation_loss,validation_precision@20,validation_mrr@20,epoch_seconds,train_examples,validation_examples,test_examples
Yoochoose 1/64,1,5.542151172589831,4.731663609737155,64.60727321887252,28.54676929828169,161.95009303092957,332874,36985,55898
Yoochoose 1/64,2,4.4685647385690395,4.517862846033628,67.34892523996214,30.056096358413356,159.3371434211731,332874,36985,55898
Yoochoose 1/64,3,4.213277760040308,4.445800822055451,68.41422198188455,30.597814792263293,157.96726369857788,332874,36985,55898
Yoochoose 1/64,4,3.7863122620596306,4.347713595711736,69.63093145869948,32.365595838323195,158.60502767562866,332874,36985,55898
Yoochoose 1/64,5,3.694021830014461,4.35267908585721,69.6282276598621,32.57165694020802,155.51127815246582,332874,36985,55898
Yoochoose 1/64,6,3.6465334807068714,4.367464948122737,69.48763012031905,32.570770406007476,155.93897700309753,332874,36985,55898
Yoochoose 1/64,7,3.5674639395537766,4.370367344318249,69.52548330404218,32.67287579874614,156.46224331855774,332874,36985,55898
Yoochoose 1/64,8,3.561094838897905,4.374203401787049,69.46059213194539,32.67873001562771,160.39352798461914,332874,36985,55898
Yoochoose 1/64,9,3.554724977678214,4.377764381007986,69.46329593078275,32.67369926692957,158.49473524093628,332874,36985,55898
Yoochoose 1/64,10,3.5453791424374312,4.378149371993563,69.48222252264432,32.67859630267556,160.29172563552856,332874,36985,55898
Yoochoose 1/64,11,3.545322382839095,4.378554393169573,69.47951872380695,32.67118670319292,166.37369751930237,332874,36985,55898
Yoochoose 1/64,12,3.544877093095719,4.378956886599382,69.47411112613221,32.67443500790577,155.84913516044617,332874,36985,55898
Yoochoose 1/64,13,3.543763510306503,4.379010625766776,69.47411112613221,32.6769637442673,167.16455483436584,332874,36985,55898
Diginetica,1,7.0411711208297385,5.794499806924209,46.73718153640875,14.934014083065081,306.9223563671112,647523,71947,60858
Diginetica,2,5.435158551551631,5.495594516420755,50.81379348687228,16.616814614389448,303.08656191825867,647523,71947,60858
Diginetica,3,5.128390554906258,5.431774897643444,51.914603805579105,16.99659540609917,299.1967875957489,647523,71947,60858
Diginetica,4,4.323721595999061,5.234652515580885,55.803577633535795,19.461603042857252,300.4148020744324,647523,71947,60858
Diginetica,5,4.099514842712165,5.287702132327142,55.37131499576077,19.35179514197466,321.6439263820648,647523,71947,60858
Diginetica,6,3.9837275823651046,5.354220863087626,54.844538340723034,19.292050993815174,314.9832355976105,647523,71947,60858
Diginetica,7,3.786276749382444,5.383997506342572,54.861217284945866,19.363893566465357,309.3454053401947,647523,71947,60858
Diginetica,8,3.7647077810954617,5.403400587634944,54.81813001237022,19.33518487311888,312.78172397613525,647523,71947,60858
Diginetica,9,3.7487232815818854,5.420274310733869,54.695817754736126,19.30316121940714,323.280556678772,647523,71947,60858
